ax,ay,az
0.083692,-0.098088,0.995276
0.082716,-0.097844,0.993080
0.081008,-0.101504,0.988200
0.079056,-0.105164,0.993324
0.076128,-0.105164,0.999668
0.073200,-0.101748,1.000644
0.071980,-0.097844,0.998936
0.074420,-0.095404,0.997228
0.071736,-0.097112,1.000400
0.071980,-0.099796,1.001620
0.071492,-0.099552,1.000644
0.071004,-0.098576,0.995764
0.071492,-0.096380,0.996252
0.073444,-0.096380,0.991860
0.075152,-0.099308,0.996008
0.075152,-0.099552,0.999424
0.077348,-0.098820,1.000644
0.076128,-0.098332,1.000644
0.076860,-0.095648,1.000400
0.079300,-0.096868,1.000400
0.080764,-0.098088,1.000400
