Initialize correctly IMU!
Step Detector Configured. Starting...
ax,ay,az,state,step_detected
Measured Frequency: 0 Hz
-0.030012,0.111508,0.980392,LOOKING_FOR_FIRST_MAX,0
-0.037088,0.122976,0.950624,LOOKING_FOR_FIRST_MAX,0
-0.047336,0.114680,0.932568,LOOKING_FOR_FIRST_MAX,0
-0.061000,0.091012,0.914512,LOOKING_FOR_FIRST_MAX,0
-0.068076,0.082472,0.914756,LOOKING_FOR_FIRST_MAX,0
-0.076860,0.088572,0.918416,LOOKING_FOR_FIRST_MAX,0
-0.085400,0.101504,0.905240,LOOKING_FOR_FIRST_MAX,0
-0.091256,0.099308,0.925248,LOOKING_FOR_FIRST_MAX,0
-0.102480,0.086864,0.878888,LOOKING_FOR_FIRST_MAX,0
-0.110044,0.097112,0.823012,LOOKING_FOR_FIRST_MAX,0
-0.124928,0.079788,0.873032,LOOKING_FOR_FIRST_MAX,0
-0.132248,0.083692,0.888160,LOOKING_FOR_FIRST_MAX,0
-0.133712,0.073444,0.885964,LOOKING_FOR_FIRST_MAX,0
-0.135908,0.082716,0.868884,LOOKING_FOR_FIRST_MAX,0
-0.099064,0.153964,0.861564,LOOKING_FOR_FIRST_MAX,0
-0.106628,0.159576,0.910852,LOOKING_FOR_FIRST_MAX,0
-0.101260,0.103212,0.803980,LOOKING_FOR_FIRST_MAX,0
-0.096868,0.116632,0.790804,LOOKING_FOR_FIRST_MAX,0
-0.081496,0.138592,0.839848,LOOKING_FOR_FIRST_MAX,0
-0.069296,0.131028,0.872544,LOOKING_FOR_FIRST_MAX,0
-0.071004,0.083448,0.830088,LOOKING_FOR_FIRST_MAX,0
-0.055876,0.062464,0.860832,LOOKING_FOR_FIRST_MAX,0
-0.036600,0.093208,0.912316,LOOKING_FOR_FIRST_MAX,0
-0.032208,0.045628,0.894260,LOOKING_FOR_FIRST_MAX,0
-0.021228,0.047092,0.889136,LOOKING_FOR_FIRST_MAX,0
-0.004392,0.069784,0.918416,LOOKING_FOR_FIRST_MAX,0
-0.001952,0.043432,0.934520,LOOKING_FOR_FIRST_MAX,0
-0.006588,0.007320,0.902556,LOOKING_FOR_FIRST_MAX,0
0.000000,0.024156,0.979660,LOOKING_FOR_FIRST_MAX,0
0.006588,0.044164,0.965020,LOOKING_FOR_FIRST_MAX,0
0.015128,0.029524,0.976244,LOOKING_FOR_FIRST_MAX,0
0.025376,0.034404,0.991128,LOOKING_FOR_FIRST_MAX,0
0.034404,0.049532,1.001132,LOOKING_FOR_FIRST_MAX,0
0.039284,0.049044,1.008452,LOOKING_FOR_FIRST_MAX,0
0.045140,0.042700,1.007476,LOOKING_FOR_FIRST_MAX,0
0.053192,0.045140,1.000888,LOOKING_FOR_FIRST_MAX,0
0.066856,0.051972,1.000400,LOOKING_FOR_FIRST_MAX,0
0.069052,0.044164,0.984784,LOOKING_FOR_FIRST_MAX,0
0.072468,0.037820,0.976732,LOOKING_FOR_FIRST_MAX,0
0.074908,0.036112,0.978440,LOOKING_FOR_FIRST_MAX,0
0.075152,0.029036,0.988444,LOOKING_FOR_FIRST_MAX,0
0.076616,0.015860,0.994300,LOOKING_FOR_FIRST_MAX,0
0.075884,0.005124,0.999668,LOOKING_FOR_FIRST_MAX,0
0.080276,-0.059048,1.000400,LOOKING_FOR_FIRST_MAX,0
0.090036,-0.002684,1.000156,LOOKING_FOR_FIRST_MAX,0
0.095160,-0.001220,1.000156,LOOKING_FOR_FIRST_MAX,0
0.098820,-0.000976,1.000400,LOOKING_FOR_FIRST_MAX,0
0.104188,-0.003660,1.001864,LOOKING_FOR_FIRST_MAX,0
0.105408,-0.010980,1.009184,LOOKING_FOR_FIRST_MAX,0
0.106872,-0.018056,1.017480,LOOKING_FOR_FIRST_MAX,0
0.108580,-0.028060,1.015528,LOOKING_FOR_FIRST_MAX,0
0.120536,-0.025864,1.019676,LOOKING_FOR_FIRST_MAX,0
0.121756,-0.020740,1.025532,LOOKING_FOR_FIRST_MAX,0
0.125172,-0.021228,1.028216,LOOKING_FOR_FIRST_MAX,0
0.131028,-0.024644,1.032608,LOOKING_FOR_FIRST_MAX,0
0.137372,-0.025620,1.034072,LOOKING_FOR_FIRST_MAX,0
0.157380,-0.026352,1.050908,LOOKING_FOR_FIRST_MAX,0
0.159088,-0.035136,1.055056,LOOKING_FOR_FIRST_MAX,0
0.155184,-0.047336,1.073356,LOOKING_FOR_FIRST_MAX,0
0.151280,-0.058804,1.074576,LOOKING_FOR_FIRST_MAX,0
0.151036,-0.084912,1.041636,LOOKING_FOR_FIRST_MAX,0
0.155672,-0.069540,1.060912,LOOKING_FOR_FIRST_MAX,0
0.142740,-0.074420,1.009428,LOOKING_FOR_FIRST_MAX,0
0.136640,-0.063684,1.009184,LOOKING_FOR_FIRST_MAX,0
0.130052,-0.057828,1.007476,LOOKING_FOR_FIRST_MAX,0
0.123464,-0.048800,0.997716,LOOKING_FOR_FIRST_MAX,0
